script,action,command
ai:catalog-assist-smoke,MOVE_TO_TOOLS,node scripts/ai-catalog-assist-smoke.mjs
ai:embed-smoke,MOVE_TO_TOOLS,node scripts/ai-embed-smoke.mjs
ai:enable,MOVE_TO_TOOLS,node scripts/ai-local-enable.mjs
ai:evals,MOVE_TO_TOOLS,npm run build -w @epis2/local-ai && node scripts/ai-synthetic-evals.mjs
ai:evals:closure,MOVE_TO_TOOLS,npm run build -w @epis2/local-ai && node scripts/run-tramo-closure-evals.mjs
ai:evals:command,MOVE_TO_TOOLS,node scripts/ai/evals/run-command-phrase-evals.mjs
ai:evals:feedback-loop,MOVE_TO_TOOLS,node scripts/ai/evals/run-feedback-loop-evals.mjs
ai:evals:intent-top10,MOVE_TO_TOOLS,node scripts/ai/evals/run-intent-top10-evals.mjs
ai:evals:live,MOVE_TO_TOOLS,npm run build -w @epis2/local-ai && node scripts/ai-evals-live.mjs
ai:evals:rag-citations,MOVE_TO_TOOLS,node scripts/ai/evals/run-rag-citation-evals.mjs
ai:evals:sim,MOVE_TO_TOOLS,npm run build -w @epis2/test-fixtures && node scripts/ai-evals-sim-live.mjs
ai:evals:tramo-j,MOVE_TO_TOOLS,npm run build -w @epis2/local-ai && node scripts/run-tramo-evals.mjs J
ai:evals:tramo-k,MOVE_TO_TOOLS,npm run build -w @epis2/local-ai && node scripts/run-tramo-evals.mjs K
ai:pull-coder-models,MOVE_TO_TOOLS,node scripts/ollama/pull-coder-models.mjs
ai:pull-model,MOVE_TO_TOOLS,ollama pull qwen3:8b
ai:smoke,MOVE_TO_TOOLS,node scripts/ai-smoke.mjs
architecture:validate,KEEP_ROOT,node scripts/architecture/validate-all.mjs
build,KEEP_ROOT,npm run build -w @epis2/contracts && npm run build -w @epis2/clinical-domain && npm run build -w @epis2/design-system && npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/epis2-widgets && npm run build -w @epis2/epis2-ui && npm run build -w @epis2/clinical-productivity && npm run build -w @epis2/test-fixtures && npm run build -w @epis2/fhir-export && npm run build -w @epis2/ai-client && npm run build -w @epis2/local-ai && npm run build -w @epis2/drug-intel && npm run build -w @epis2/clinical-case-intel && npm run build -w @epis2/api && npm run build -w @epis2/web
build:packages,KEEP_ROOT,npm run build -w @epis2/contracts && npm run build -w @epis2/clinical-domain && npm run build -w @epis2/design-system && npm run build -w @epis2/command-registry && npm run build -w @epis2/clinical-forms && npm run build -w @epis2/epis2-widgets && npm run build -w @epis2/epis2-ui && npm run build -w @epis2/clinical-productivity && npm run build -w @epis2/test-fixtures && npm run build -w @epis2/fhir-export && npm run build -w @epis2/local-ai && npm run build -w @epis2/drug-intel && npm run build -w @epis2/clinical-case-intel
case-intel:export-evolab,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- export-evolab
case-intel:export-fixtures,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- export-fixtures
case-intel:load,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- load
case-intel:pipeline:catalog,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- pipeline catalog
case-intel:promote-catalog,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- promote-catalog
case-intel:report,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- report
case-intel:scrape,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- scrape
case-intel:scrape:catalog,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- scrape --source catalog
case-intel:scrape:meded-remote,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- scrape --source meded-remote
case-intel:synthesize,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- synthesize
case-intel:validate,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- validate
case-intel:verify-sim-seed,MOVE_TO_LABS,npm run cli -w @epis2/clinical-case-intel -- verify-sim-seed
check,KEEP_ROOT,npm run lint && npm run typecheck && npm run architecture:validate
cursor:verify,MOVE_TO_TOOLS,node scripts/cursor/verify-setup.mjs
db:apply-latest,MOVE_TO_TOOLS,node scripts/quality/apply-latest-migration.mjs
db:backup,MOVE_TO_TOOLS,node scripts/epis-db-backup.mjs
db:migrate,KEEP_ROOT,node scripts/db-migrate.mjs
db:reindex-chunks,MOVE_TO_TOOLS,node scripts/db/reindex-document-chunks.mjs
db:restore,MOVE_TO_TOOLS,node scripts/epis-db-restore.mjs
db:validate,KEEP_ROOT,node scripts/db-validate.mjs
dev:agent:audit-diff,MOVE_TO_TOOLS,node scripts/dev-agent/ollama-audit-diff.mjs
dev:agent:close,MOVE_TO_TOOLS,node scripts/dev-agent/close.mjs
